Как создать папку?|os.makedirs('название_папки')
Как преобразовать кодировку файла?|with open('источник', 'r', encoding='old_encoding') as src, open('назначение', 'w', encoding='new_encoding') as dst: dst.write(src.read())
Как найти все файлы с определенным расширением?|[f for f in os.listdir('путь_к_директории') if f.endswith('.расширение')]
Как найти все файлы, содержащие определенный текст?|[f for f in os.listdir('путь_к_директории') if 'текст' in open(f).read()]
Как получить хеш-сумму файла?|import hashlib; hasher = hashlib.md5(); with open('путь_к_файлу', 'rb') as f: hasher.update(f.read()); print(hasher.hexdigest())
Как сравнить два файла?|open('файл1', 'rb').read() == open('файл2', 'rb').read()
Как получить время модификации файла в читаемом формате?|import time; time.ctime(os.path.getmtime('путь_к_файлу'))
Как получить время создания файла в читаемом формате?|import time; time.ctime(os.path.getctime('путь_к_файлу'))
Как получить время последнего доступа к файлу в читаемом формате?|import time; time.ctime(os.path.getatime('путь_к_файлу'))
Как получить список всех файлов в директории рекурсивно?|import glob; glob.glob('путь_к_директории//*', recursive=True)
Как получить список всех файлов с определенным расширением рекурсивно?|import glob; glob.glob('путь_к_директории/ /*.расширение', recursive=True)
Как получить список всех папок в директории?|[f for f in os.listdir('путь_к_директории') if os.path.isdir(os.path.join('путь_к_директории', f))]
Как получить список всех файлов в директории?|[f for f in os.listdir('путь_к_директории') if os.path.isfile(os.path.join('путь_к_директории', f))]
Как получить список всех скрытых файлов в директории?|[f for f in os.listdir('путь_к_директории') if f.startswith('.')]
Как получить список всех symbolic link в директории?|[f for f in os.listdir('путь_к_директории') if os.path.islink(os.path.join('путь_к_директории', f))]
Как получить список всех жестких ссылок на файл?|os.listdir('путь_к_директории')
Как получить количество файлов в директории?|len([f for f in os.listdir('путь_к_директории') if os.path.isfile(os.path.join('путь_к_директории', f))])
Как получить количество папок в директории?|len([f for f in os.listdir('путь_к_директории') if os.path.isdir(os.path.join('путь_к_директории', f))])
Как получить список всех файлов в директории, отсортированный по размеру?|sorted([(f, os.path.getsize(f)) for f in os.listdir('путь_к_директории')], key=lambda x: x[1])
Как получить список всех файлов в директории, отсортированный по времени модификации?|sorted([(f, os.path.getmtime(f)) for f in os.listdir('путь_к_директории')], key=lambda x: x[1])
Как получить список всех файлов в директории, отсортированный по имени?|sorted(os.listdir('путь_к_директории'))
Как получить список всех файлов в директории, отсортированный по расширению?|sorted(os.listdir('путь_к_директории'), key=lambda x: os.path.splitext(x)[1])
